ma_gv,ho_ten,email,don_vi,bo_mon,chuc_vu,role,password
2211110001,Lê Khánh Linh,sv2211110001@ftu.edu.vn,Viện Kinh tế & Kinh doanh quốc tế,Kinh tế đối ngoại,Chủ nhiệm chuyên đề,lecturer,
2211110045,Trần Minh Quân,sv2211110045@ftu.edu.vn,Khoa Tài chính - Ngân hàng,Tài chính quốc tế,Chủ nhiệm chuyên đề,lecturer,
2211110088,Phạm Thu Hà,sv2211110088@ftu.edu.vn,Khoa Quản trị kinh doanh,Marketing,Chủ nhiệm chuyên đề,lecturer,
2211110132,Nguyễn Đức Anh,sv2211110132@ftu.edu.vn,Khoa Kinh tế quốc tế,Kinh tế quốc tế,Chủ nhiệm chuyên đề,lecturer,
2211110175,Vũ Ngọc Mai,sv2211110175@ftu.edu.vn,Khoa Kinh tế & Kinh doanh quốc tế,Thương mại quốc tế,Chủ nhiệm chuyên đề,lecturer,
2211110210,Đặng Hoàng Nam,sv2211110210@ftu.edu.vn,Khoa Tài chính - Ngân hàng,Ngân hàng,Chủ nhiệm chuyên đề,lecturer,
2213330011,Hoàng Thị Ngọc,sv2213330011@ftu.edu.vn,Cơ sở II tại TP. Hồ Chí Minh,Kinh doanh quốc tế,Chủ nhiệm chuyên đề,lecturer,
2213330058,Bùi Tấn Phát,sv2213330058@ftu.edu.vn,Cơ sở II tại TP. Hồ Chí Minh,Tài chính - Kế toán,Chủ nhiệm chuyên đề,lecturer,
2214440007,Ngô Bảo Trâm,sv2214440007@ftu.edu.vn,Cơ sở Quảng Ninh,Kinh tế đối ngoại,Chủ nhiệm chuyên đề,lecturer,
2211110301,Trịnh Gia Bảo,sv2211110301@ftu.edu.vn,Khoa Luật,Luật kinh doanh quốc tế,Chủ nhiệm chuyên đề,lecturer,
HD001,PGS. TS. Vũ Hoàng Nam,hoidong1@ftu.edu.vn,Phòng Quản lý Khoa học,,Chủ tịch Hội đồng,council,HoiDong@2026
HD002,TS. Nguyễn Bình Minh,hoidong2@ftu.edu.vn,Cơ sở Quảng Ninh,,Ủy viên phản biện,council,HoiDong@2026
HD003,PGS. TS. Phạm Hùng Cường,hoidong3@ftu.edu.vn,Cơ sở II tại TP. Hồ Chí Minh,,Ủy viên phản biện,council,HoiDong@2026
HD004,TS. Lê Thị Ngọc Lan,hoidong4@ftu.edu.vn,Phòng Quản lý Khoa học,,Ủy viên - Thư ký,council,HoiDong@2026
QLKH01,Phòng Quản lý Khoa học,admin@ftu.edu.vn,Phòng Quản lý Khoa học,,Quản trị hệ thống,admin,Admin@2026
